키이스케이프 메모리컴퍼니,FILM BY BOB,9.66,175,https://m.blog.naver.com/SectionPostSearch.naver?orderType=sim&searchValue=키이스케이프 메모리컴퍼니 FILM BY BOB,4,강남,20
키이스케이프 LOG_IN 1,머니머니패키지,9.63,484,https://m.blog.naver.com/SectionPostSearch.naver?orderType=sim&searchValue=키이스케이프 LOG_IN 1 머니머니패키지,5,강남,2001
제로월드 강남점,제로,9.62,679,https://m.blog.naver.com/SectionPostSearch.naver?orderType=sim&searchValue=제로월드 강남점 제로,8,강남,1584
둠이스케이프 DTH점,슬래셔,9.48,339,https://m.blog.naver.com/SectionPostSearch.naver?orderType=sim&searchValue=둠이스케이프 DTH점 슬래셔,7,인천,1182
키이스케이프 메모리컴퍼니,FILM BY STEVE,9.45,619,https://m.blog.naver.com/SectionPostSearch.naver?orderType=sim&searchValue=키이스케이프 메모리컴퍼니 FILM BY STEVE,6,강남,317
키이스케이프 메모리컴퍼니,FILM BY EDDY,9.39,708,https://m.blog.naver.com/SectionPostSearch.naver?orderType=sim&searchValue=키이스케이프 메모리컴퍼니 FILM BY EDDY,4,강남,267
디코더,Tempo Rubato,9.36,1515,https://m.blog.naver.com/SectionPostSearch.naver?orderType=sim&searchValue=디코더 Tempo Rubato,7,홍대,1732
키이스케이프 우주라이크점,WANNA GO HOME,9.36,1232,https://m.blog.naver.com/SectionPostSearch.naver?orderType=sim&searchValue=키이스케이프 우주라이크점 WANNA GO HOME,6,강남,150
키이스케이프 우주라이크점,US,9.3,1394,https://m.blog.naver.com/SectionPostSearch.naver?orderType=sim&searchValue=키이스케이프 우주라이크점 US,7,강남,936
숨바꼭질 3호점,종결사건,9.29,428,https://m.blog.naver.com/SectionPostSearch.naver?orderType=sim&searchValue=숨바꼭질 3호점 종결사건,7,광주,58
"방탈출, 단편선",그림자 없는 상자,9.29,1128,"https://m.blog.naver.com/SectionPostSearch.naver?orderType=sim&searchValue=방탈출, 단편선 그림자 없는 상자",4,강남,952
"방탈출, 단편선",사람들은 그것을 행복이라 부르기로 했다,9.26,848,"https://m.blog.naver.com/SectionPostSearch.naver?orderType=sim&searchValue=방탈출, 단편선 사람들은 그것을 행복이라 부르기로 했다",6,강남,617
키이스케이프 강남더오름점,네드,9.25,1840,https://m.blog.naver.com/SectionPostSearch.naver?orderType=sim&searchValue=키이스케이프 강남더오름점 네드,7,강남,1193
판타지아방탈출카페,Inspecto : The 2nd case,9.22,40,https://m.blog.naver.com/SectionPostSearch.naver?orderType=sim&searchValue=판타지아방탈출카페 Inspecto : The 2nd case,6,광주,294
황금열쇠 건대점(유토피아호),fl[ae]sh,9.2,767,https://m.blog.naver.com/SectionPostSearch.naver?orderType=sim&searchValue=황금열쇠 건대점(유토피아호) fl[ae]sh,6,건대,71
에스케이프,LINK 2,9.18,11,https://m.blog.naver.com/SectionPostSearch.naver?orderType=sim&searchValue=에스케이프 LINK 2,???,광주,1369
호텔 레토,호텔 레토,9.18,1227,https://m.blog.naver.com/SectionPostSearch.naver?orderType=sim&searchValue=호텔 레토 호텔 레토,8,건대,1313
씨이스케이프,Odd bar,9.16,608,https://m.blog.naver.com/SectionPostSearch.naver?orderType=sim&searchValue=씨이스케이프 Odd bar,6,경기(기타),1917
드림이스케이프,ALLTHEBOX PARADISE,9.15,212,https://m.blog.naver.com/SectionPostSearch.naver?orderType=sim&searchValue=드림이스케이프 ALLTHEBOX PARADISE,9,건대,1745
코드케이 홍대점,꼬레아 우라,9.15,1855,https://m.blog.naver.com/SectionPostSearch.naver?orderType=sim&searchValue=코드케이 홍대점 꼬레아 우라,8,홍대,731
플레이더월드 강남점,이웃집 또도와,9.14,570,https://m.blog.naver.com/SectionPostSearch.naver?orderType=sim&searchValue=플레이더월드 강남점 이웃집 또도와,7,강남,1157
지구별방탈출 홍대라스트시티점,멸종위기종 탐사대,9.11,377,https://m.blog.naver.com/SectionPostSearch.naver?orderType=sim&searchValue=지구별방탈출 홍대라스트시티점 멸종위기종 탐사대,8,홍대,200
제로월드 홍대점,ALIVE,9.09,260,https://m.blog.naver.com/SectionPostSearch.naver?orderType=sim&searchValue=제로월드 홍대점 ALIVE,5,홍대,1374
판타스트릭,태초의 신부 : 이브 프로젝트,9.06,1438,https://m.blog.naver.com/SectionPostSearch.naver?orderType=sim&searchValue=판타스트릭 태초의 신부 : 이브 프로젝트,9,강남,1995
키이스케이프 LOG_IN 2,BACK TO THE SCENE+,9.03,361,https://m.blog.naver.com/SectionPostSearch.naver?orderType=sim&searchValue=키이스케이프 LOG_IN 2 BACK TO THE SCENE+,3,강남,1295
판타지아방탈출카페,찬미특수진료센터 : The 1st Case,9.02,186,https://m.blog.naver.com/SectionPostSearch.naver?orderType=sim&searchValue=판타지아방탈출카페 찬미특수진료센터 : The 1st Case,6,광주,1476
버스티드,탐정B - 브레인헌터의 진실,9.0,713,https://m.blog.naver.com/SectionPostSearch.naver?orderType=sim&searchValue=버스티드 탐정B - 브레인헌터의 진실,8,부천,342
숨바꼭질 3호점,비공개모드,9.0,352,https://m.blog.naver.com/SectionPostSearch.naver?orderType=sim&searchValue=숨바꼭질 3호점 비공개모드,8,광주,4
포인트나인 강남1호점,EP2 : 열쇠공의 이중생활,9.0,1492,https://m.blog.naver.com/SectionPostSearch.naver?orderType=sim&searchValue=포인트나인 강남1호점 EP2 : 열쇠공의 이중생활,8,강남,658
나비잠 2호점,Harpy’s Candy Shop 하피스 캔디샵,9.0,32,https://m.blog.naver.com/SectionPostSearch.naver?orderType=sim&searchValue=나비잠 2호점 Harpy’s Candy Shop 하피스 캔디샵,3,안양,627
지구별방탈출 홍대라스트시티점,섀도우,8.99,402,https://m.blog.naver.com/SectionPostSearch.naver?orderType=sim&searchValue=지구별방탈출 홍대라스트시티점 섀도우,2,홍대,1308
룸엘이스케이프 홍대점,퇴근길,8.98,478,https://m.blog.naver.com/SectionPostSearch.naver?orderType=sim&searchValue=룸엘이스케이프 홍대점 퇴근길,7,홍대,1686
황금열쇠 대구동성로2호점(더킹),BAD ROB BAD,8.96,177,https://m.blog.naver.com/SectionPostSearch.naver?orderType=sim&searchValue=황금열쇠 대구동성로2호점(더킹) BAD ROB BAD,7,대구,1920
제로월드 홍대점,깜방탈출 : WAY OUT,8.96,343,https://m.blog.naver.com/SectionPostSearch.naver?orderType=sim&searchValue=제로월드 홍대점 깜방탈출 : WAY OUT,6,홍대,1758
지구별방탈출 홍대라스트시티점,纹身(문신),8.96,208,https://m.blog.naver.com/SectionPostSearch.naver?orderType=sim&searchValue=지구별방탈출 홍대라스트시티점 纹身(문신),4,홍대,726
이스케이퍼스 1호점,RS ROOM SPEED RUN,8.94,525,https://m.blog.naver.com/SectionPostSearch.naver?orderType=sim&searchValue=이스케이퍼스 1호점 RS ROOM SPEED RUN,10,홍대,1225
퀘스천마크 홍대점,퀘스천마크,8.94,1457,https://m.blog.naver.com/SectionPostSearch.naver?orderType=sim&searchValue=퀘스천마크 홍대점 퀘스천마크,6,홍대,1642
포인트나인 홍대점,SILENT,8.94,761,https://m.blog.naver.com/SectionPostSearch.naver?orderType=sim&searchValue=포인트나인 홍대점 SILENT,7,홍대,1058
파노라마 신촌점,판도라 : PANDORA,8.94,297,https://m.blog.naver.com/SectionPostSearch.naver?orderType=sim&searchValue=파노라마 신촌점 판도라 : PANDORA,5,신촌,771
제로월드 강남점,링,8.93,1356,https://m.blog.naver.com/SectionPostSearch.naver?orderType=sim&searchValue=제로월드 강남점 링,6,강남,1833
